owner_id,report_potential_stockout_check,instance_id
6ad035a9fd784599ad9490236ec55cd1,yes,dfba01ac-8d69-4e0b-b2b4-487421750e7b
6ad035a9fd784599ad9490236ec55cd1,no,33e95af6-a240-4fe8-85c4-fce6849397a7
6ad035a9fd784599ad9490236ec55cd1,yes,01216f86-7b85-41bb-a193-d709af50646c
6ad035a9fd784599ad9490236ec55cd1,yes,f524a3c4-19e2-4afc-9bcf-00e46fe17997
6ad035a9fd784599ad9490236ec55cd1,yes,01222031-4e17-48f5-9285-985145b63c9d
6ad035a9fd784599ad9490236ec55cd1,yes,ccfbf8bb-6680-405f-8ba9-1c9722556e17
6ad035a9fd784599ad9490236ec55cd1,no,7630351f-b951-4c4b-90d0-39d4d29f2e2d
6ad035a9fd784599ad9490236ec55cd1,yes,4a597ecf-66eb-45f7-8cfa-e620ca830251
6ad035a9fd784599ad9490236ec55cd1,no,1ece0525-d395-4a03-aeda-ea94ddd7652b
6ad035a9fd784599ad9490236ec55cd1,yes,8e1d3e54-fd3b-4505-b6d6-992e6f8c9155
6ad035a9fd784599ad9490236ec55cd1,yes,f3c1df2b-34b1-4b63-b1c5-d2de2bbfeaac
6ad035a9fd784599ad9490236ec55cd1,yes,4e21c1c0-f879-4094-98f1-e50855f4672d
6ad035a9fd784599ad9490236ec55cd1,yes,f1ff0540-e803-4eac-9014-c3d4acabb9fa
6ad035a9fd784599ad9490236ec55cd1,no,9fe06ce0-f121-4feb-95a2-ce2a20c7dedd
6ad035a9fd784599ad9490236ec55cd1,no,3ac53763-6459-4612-9348-ad4b37717306
6ad035a9fd784599ad9490236ec55cd1,yes,a78fd9ba-3e3a-4178-a85d-5ca7b4396779
6ad035a9fd784599ad9490236ec55cd1,yes,b4dbccd1-1f97-45d5-af26-2edfe6d06324
6ad035a9fd784599ad9490236ec55cd1,no,2da0a6a9-036a-4d1e-8475-1214d4373a18
6ad035a9fd784599ad9490236ec55cd1,no,3bc07545-775d-41ba-be08-b2146a470680
6ad035a9fd784599ad9490236ec55cd1,yes,1d72a175-46e4-4ea7-80a2-c842583b6b6f
6ad035a9fd784599ad9490236ec55cd1,no,1b65b972-18e4-4d1e-916e-8234e82c6a88
6ad035a9fd784599ad9490236ec55cd1,no,36ce2288-eaa9-4880-8253-8e174b6d5fa6
6ad035a9fd784599ad9490236ec55cd1,no,02155210-bf38-42be-a5c0-69f514e17000
6ad035a9fd784599ad9490236ec55cd1,no,fa574199-b5be-440c-a06e-d9c6567c801f
2aac5f9954084b539ead0a6c4c7f5202,no,2444e161-1ef6-4575-a74e-3161ebda1bf5
2aac5f9954084b539ead0a6c4c7f5202,no,1c40e2ba-d153-4054-889c-bfcdd2904b17
2aac5f9954084b539ead0a6c4c7f5202,yes,a82bac1b-7360-491a-a61e-d3fad3c19eb2
2aac5f9954084b539ead0a6c4c7f5202,yes,e6c8364e-8479-4d1c-8d2b-5d3066938844
2aac5f9954084b539ead0a6c4c7f5202,yes,ce23a402-b8ed-40ae-9c9b-4f5f0853e6af
2aac5f9954084b539ead0a6c4c7f5202,yes,05a519da-2692-48d1-b180-e3964d4aef70
2aac5f9954084b539ead0a6c4c7f5202,yes,f12a599c-4f07-442f-ba4b-620c0b5fe864
2aac5f9954084b539ead0a6c4c7f5202,yes,3f1e941c-b7de-4059-87c2-8d9f75d3fdba
2aac5f9954084b539ead0a6c4c7f5202,no,ee618e22-8e0a-4e08-995f-9112153e9a91
2aac5f9954084b539ead0a6c4c7f5202,yes,d46141c0-4164-49f5-bda3-27fc270811d7
2aac5f9954084b539ead0a6c4c7f5202,yes,35741af3-407a-44fb-9edf-6cb0da18139c
2aac5f9954084b539ead0a6c4c7f5202,no,d6de44d0-0c76-43ca-ad08-acb5b193bbba
2aac5f9954084b539ead0a6c4c7f5202,yes,7681987d-b828-4380-bd80-21e4c142e18b
2aac5f9954084b539ead0a6c4c7f5202,no,d68faa2c-a687-4f6e-8d25-9e8e593aedb5
2aac5f9954084b539ead0a6c4c7f5202,yes,3dbbf8df-8d2b-492f-bf1b-89691533a449
2aac5f9954084b539ead0a6c4c7f5202,no,1f053032-3c38-4d3a-aac1-a17126c3f722
2aac5f9954084b539ead0a6c4c7f5202,no,e65149f3-e25b-4e83-8018-2087912e2bd4
2aac5f9954084b539ead0a6c4c7f5202,yes,13ce3126-7623-4837-a707-d13d00c313a6
2aac5f9954084b539ead0a6c4c7f5202,yes,dda59683-b93e-422f-a266-d666c815e543
2aac5f9954084b539ead0a6c4c7f5202,no,7cd0ee0d-8e4c-4f5d-b4ff-bffb8039e9fa
2aac5f9954084b539ead0a6c4c7f5202,no,56ed98a7-1e18-4bdd-8eb5-c4c7b54c31c3
2aac5f9954084b539ead0a6c4c7f5202,yes,ba19cf5d-f1a9-41eb-97b9-a62441bc4973
2aac5f9954084b539ead0a6c4c7f5202,yes,9a372e81-c6bb-47ff-9b8f-0f0be51ce965
2aac5f9954084b539ead0a6c4c7f5202,no,21feb416-d31a-4611-8041-cf89678176ac
2aac5f9954084b539ead0a6c4c7f5202,no,1e310798-c1ea-4e40-8273-d475fc2760b9
2aac5f9954084b539ead0a6c4c7f5202,yes,cffa694a-9fe8-46cc-803e-5b1be8c877e2
2aac5f9954084b539ead0a6c4c7f5202,yes,25238844-65d9-4759-827f-4ead535428e8
2aac5f9954084b539ead0a6c4c7f5202,yes,d543ffe9-e395-44b1-ab9b-a64a8fc80d63
2aac5f9954084b539ead0a6c4c7f5202,yes,39a236d2-885f-4ee7-a191-99a4722c5202
2aac5f9954084b539ead0a6c4c7f5202,yes,7194c4a8-b2fe-477d-9d25-2aae63f74262
2aac5f9954084b539ead0a6c4c7f5202,no,f4022c2c-9b68-49c3-9d9e-11ee3c7d3c89
2aac5f9954084b539ead0a6c4c7f5202,yes,09014e62-67c8-4ccf-b0aa-430a24bb51b9
2aac5f9954084b539ead0a6c4c7f5202,no,a1494a8c-9bb2-4d44-a08f-5ed33c3c51d8
2aac5f9954084b539ead0a6c4c7f5202,no,3eceecb3-c139-414a-985f-71df7d3fbbed
4589e374e5584bb7badddc2c22a8b184,yes,f0fe7922-6bbd-48e7-baa4-cc8102cb9450
4589e374e5584bb7badddc2c22a8b184,yes,82d89e66-2c1f-49f3-baca-46514e7a79ec
4589e374e5584bb7badddc2c22a8b184,no,9912770d-ce46-461f-9679-c3639e2b64de
4589e374e5584bb7badddc2c22a8b184,no,e4b799ae-d87b-4de7-8930-a39b17d9a47f
4589e374e5584bb7badddc2c22a8b184,no,84b096bb-ecd9-4c12-a16b-5dd68245cf21
4589e374e5584bb7badddc2c22a8b184,no,b22d9ad3-6399-4f5a-b5b8-4c8f5780ba8d
4589e374e5584bb7badddc2c22a8b184,yes,16405227-024d-4a6d-96d6-41c003d1c3f3
4589e374e5584bb7badddc2c22a8b184,yes,7db30fee-1e27-4ce1-8d97-6f80fc2615c4
4589e374e5584bb7badddc2c22a8b184,no,85df20b8-6019-4ce2-a757-b333be227aeb
4589e374e5584bb7badddc2c22a8b184,no,8bd69e56-7f09-4591-b1bb-40a8e613d05c
4589e374e5584bb7badddc2c22a8b184,yes,2dc55c12-a69d-4dad-a09e-ae7ded84da3d
4589e374e5584bb7badddc2c22a8b184,yes,25b4bba8-b537-4e62-bb4b-ec55273e51e7
4589e374e5584bb7badddc2c22a8b184,no,f10319b1-3123-46f2-b6a3-40a093dbad0a
4589e374e5584bb7badddc2c22a8b184,no,801f27cb-b7b7-4e08-b54a-a32ea6d85375
4589e374e5584bb7badddc2c22a8b184,yes,8afb78a4-9cae-4bcc-9ef0-3dc530503e57
4589e374e5584bb7badddc2c22a8b184,no,47f9d044-7e15-412b-9511-fa53bcea8821
4589e374e5584bb7badddc2c22a8b184,no,13513fb7-3b47-4944-8b06-0bd9274c66de
4589e374e5584bb7badddc2c22a8b184,no,65aa55bb-68a9-41d0-8852-9817546cd8ab
4589e374e5584bb7badddc2c22a8b184,yes,b86e6214-5b21-432e-8e00-348662637a7e
4589e374e5584bb7badddc2c22a8b184,yes,30f1d0dc-2f9b-495d-ae3b-514a7b1de5ac
4589e374e5584bb7badddc2c22a8b184,yes,1522e73d-7c38-4ace-ac03-2fb71e142f2d
4589e374e5584bb7badddc2c22a8b184,yes,85690dac-e4c1-4ffb-b182-bfaa38e173c4
4589e374e5584bb7badddc2c22a8b184,no,fa02e49b-ba05-4d1d-a0ce-4cb527b39b79
4589e374e5584bb7badddc2c22a8b184,no,49078f3f-c262-4edf-988a-267b37c9843d
4589e374e5584bb7badddc2c22a8b184,no,7f17b7ff-73fe-4aeb-b1ba-77639fd4ba14
